mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.23645027478536,0.027788174919834416,0.021939913431803387,0.0002745432699688276,0.19336428599926023,443,"OrderedDict([('model__learning_rate', 0.19336428599926023), ('model__n_estimators', 443)])",0.7775510204081633,0.7306122448979592,0.7169042769857433,0.7416891807639553,0.025968323692154276,5
2.555607477823893,0.045187300432870704,0.028554201126098633,0.003140449167951063,0.05608679999217153,495,"OrderedDict([('model__learning_rate', 0.05608679999217153), ('model__n_estimators', 495)])",0.8142857142857143,0.7571428571428571,0.7678207739307535,0.7797497817864416,0.02480661809447964,4
1.651706616083781,0.012916619435611348,0.025060415267944336,0.0007416187121098042,0.028759624616774778,315,"OrderedDict([('model__learning_rate', 0.028759624616774778), ('model__n_estimators', 315)])",0.8122448979591836,0.7612244897959184,0.8085539714867617,0.7940077864139545,0.023230212187520128,1
2.492053826649984,0.013216422322144723,0.05120579401652018,0.00456091243977308,0.027427290702985826,406,"OrderedDict([('model__learning_rate', 0.027427290702985826), ('model__n_estimators', 406)])",0.8183673469387756,0.7612244897959184,0.7922606924643585,0.7906175097330174,0.023357390946317592,2
2.077535072962443,0.009097275088679477,0.026988744735717773,0.0014060740637983874,0.042047156410006156,290,"OrderedDict([('model__learning_rate', 0.042047156410006156), ('model__n_estimators', 290)])",0.8183673469387756,0.7591836734693878,0.7922606924643585,0.7899372376241739,0.024217426688627374,3
